Number,Name,A,B,C,D,E,SignPost,Shelter(S),Shelter(B),MapCase,SideWalk,BikeRack,News Stand,HART,Latitude,Longitude,OSM Node ID,Comments
709,U. Mall to MSC,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,455005586,
712,University Club to MSC,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,,,828179243,
713,University Club to ADM,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,,,828178924,
715,UATC (HART Transfer) to MSC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Ye,TRUE,FALSE,FALSE,TRUE,,,828198460,"confirm in field whether this is the correct stop, may be 828188520 instead, can't tell from diagram"
716,UATC (HART Transfer) to ADM,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,,,1056832298,
717,T U.Club eastbound (removed),FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,,"temporary stop used during construction on 22nd, no longer exists"
718,T U.Club westbound (removed),FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,,"temporary stop used during construction on 22nd, no longer exists"
801,Rocky's,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,,,456529952,
803,Fairway One,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,456529954,
807,The Claw,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,456529953,
813,Oak Ramble,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,456529256,
815,Skipper I,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,FALSE,FALSE,FALSE,FALSE,,,456529255,
821,Willow Brooke,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,No,FALSE,FALSE,FALSE,TRUE,,,828182085,
827,Cambridgewoods Drive,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,,,828182097,"confirmed, but Bull Runner sign has number 823 which does not exist in this file, and name listed for this stop is consistent with 821"
829,Sterling 42nd Street,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,No,FALSE,FALSE,FALSE,TRUE,,,828196741,confirmed
