shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1335391,28.0657095,-82.4073893,58,null
1335391,28.0657098,-82.4072595,59,null
1335391,28.0657092,-82.4069135,60,null
1335391,28.0657026,-82.4059338,61,null
1335391,28.0657010,-82.4056975,62,null
1335391,28.0657086,-82.4055516,63,null
1335391,28.0657313,-82.4052426,64,null
1335391,28.0657826,-82.4049209,65,null
1335391,28.0657826,-82.4049209,66,null
1335391,28.0658584,-82.4046119,67,null
1335391,28.0659845,-82.4041464,68,null
1335391,28.0659845,-82.4041464,69,null
1335391,28.0662330,-82.4034030,70,null
1335391,28.0663390,-82.4027670,71,null
1335391,28.0663390,-82.4027670,72,null
1335391,28.0662795,-82.4027830,73,null
1335391,28.0656081,-82.4027674,74,null
1335391,28.0655178,-82.4027673,75,null
1335391,28.0645855,-82.4027614,76,null
1335391,28.0635759,-82.4027605,77,null
1335391,28.0622072,-82.4027541,78,null
1335391,28.0619195,-82.4027528,79,null
1335391,28.0600191,-82.4027415,80,null
1335391,28.0598293,-82.4027380,81,null
1335391,28.0597782,-82.4027318,82,null
1335391,28.0656070,-82.4028322,83,null
1335391,28.0635379,-82.4028841,84,null
1335391,28.0601332,-82.4028919,85,null
1335391,28.0599903,-82.4050929,86,null
1335391,28.0599358,-82.4049696,87,null
1335391,28.0598408,-82.4047639,88,null
1335391,28.0598000,-82.4046270,89,null
1335391,28.0597857,-82.4044828,90,null
1335391,28.0597859,-82.4035759,91,null
1335391,28.0597860,-82.4028523,92,null
1335391,28.0597782,-82.4027318,93,null
1335391,28.0598968,-82.4046005,94,null
1335391,28.0599903,-82.4050929,95,null
1335391,28.0599123,-82.4051344,96,null
1335391,28.0597984,-82.4051798,97,null
1335391,28.0597185,-82.4052064,98,null
1335391,28.0596616,-82.4052126,99,null
1335391,28.0594837,-82.4052321,100,null
1335391,28.0589762,-82.4052321,101,null
1335391,28.0589188,-82.4052327,102,null
1335391,28.0585578,-82.4052365,103,null
1335391,28.0583356,-82.4052786,104,null
1335391,28.0580370,-82.4053351,105,null
1335391,28.0577672,-82.4054178,106,null
1335391,28.0576853,-82.4054429,107,null
1335391,28.0576095,-82.4054590,108,null
1335391,28.0575147,-82.4054829,109,null
1335391,28.0574538,-82.4054982,110,null
1335391,28.0572114,-82.4055240,111,null
1335391,28.0569499,-82.4055152,112,null
1335391,28.0568981,-82.4055079,113,null
1335391,28.0565828,-82.4054639,114,null
1335391,28.0577003,-82.4055273,115,null
1335391,28.0565828,-82.4054639,116,null
1335391,28.0566285,-82.4067231,117,null
1335391,28.0566358,-82.4069230,118,null
1335391,28.0566491,-82.4072487,119,null
1335391,28.0566509,-82.4072921,120,null
1335391,28.0566737,-82.4076182,121,null
1335391,28.0567115,-82.4078242,122,null
1335391,28.0567418,-82.4079186,123,null
1335391,28.0568630,-82.4082276,124,null
1335391,28.0569671,-82.4084493,125,null
1335391,28.0570325,-82.4086063,126,null
1335391,28.0570591,-82.4086702,127,null
1335391,28.0573207,-82.4096630,128,null
1335391,28.0570591,-82.4086702,129,null
1335391,28.0570970,-82.4087695,130,null
1335391,28.0570970,-82.4087695,131,null
1335391,28.0571475,-82.4089140,132,null
1335391,28.0571693,-82.4089893,133,null
1335391,28.0571811,-82.4090688,134,null
1335391,28.0572190,-82.4092919,135,null
1335391,28.0572417,-82.4094808,136,null
1335391,28.0572720,-82.4098927,137,null
1335391,28.0572720,-82.4105451,138,null
1335391,28.0572342,-82.4109141,139,null
